All	HP:0000001
Abnormality of body height	HP:0000002
Abnormality of body height	HP:0000002
Multicystic kidney dysplasia	HP:0000003
Multicystic dysplastic kidney	HP:0000003
Multicystic kidneys	HP:0000003
Multicystic renal dysplasia	HP:0000003
Mode of inheritance	HP:0000005
Inheritance	HP:0000005
Autosomal dominant inheritance	HP:0000006
Autosomal dominant	HP:0000006
Autosomal dominant form	HP:0000006
Autosomal dominant type	HP:0000006
Autosomal recessive inheritance	HP:0000007
Autosomal recessive predisposition	HP:0000007
Autosomal recessive form	HP:0000007
Autosomal recessive	HP:0000007
Abnormal morphology of female internal genitalia	HP:0000008
Abnormality of female internal genitalia	HP:0000008
Functional abnormality of the bladder	HP:0000009
Poor bladder function	HP:0000009
Recurrent urinary tract infections	HP:0000010
Recurrent UTIs	HP:0000010
Urinary tract infections, recurrent	HP:0000010
Frequent urinary tract infections	HP:0000010
Urinary tract infections	HP:0000010
Repeated bladder infections	HP:0000010
Repeated urinary tract infections	HP:0000010
Neurogenic bladder	HP:0000011
Lack of bladder control due to nervous system injury	HP:0000011
Urinary urgency	HP:0000012
Urgency frequency syndrome	HP:0000012
Overactive bladder syndrome	HP:0000012
Urinary urgency	HP:0000012
Overactive bladder	HP:0000012
Hypoplasia of the uterus	HP:0000013
Rudimentary uterus	HP:0000013
Hypoplastic uterus	HP:0000013
Small uterus	HP:0000013
Underdeveloped uterus	HP:0000013
Abnormality of the bladder	HP:0000014
Bladder diverticulum	HP:0000015
Bladder diverticula	HP:0000015
Urinary retention	HP:0000016
Increased post-void residual urine volume	HP:0000016
Nocturia	HP:0000017
Nycturia	HP:0000017
Urinary hesitancy	HP:0000019
Difficulty with flow	HP:0000019
Urinary incontinence	HP:0000020
Loss of bladder control	HP:0000020
Bladder incontinence	HP:0000020
Megacystis	HP:0000021
Abnormality of male internal genitalia	HP:0000022
Inguinal hernia	HP:0000023
Prostatitis	HP:0000024
Inflammation of the prostate	HP:0000024
Functional abnormality of male internal genitalia	HP:0000025
Male hypogonadism	HP:0000026
Decreased function of male gonad	HP:0000026
Azoospermia	HP:0000027
