Tous	HP:0000001
Anomalie de la taille corporelle	HP:0000002
Anomalie de la taille	HP:0000002
Dysplasie rénale multikystique	HP:0000003
Mode de transmission	HP:0000005
Transmission autosomique dominante	HP:0000006
Transmission autosomique récessive	HP:0000007
anomalie des organes génitaux internes de la femme	HP:0000008
Anomalie fonctionnelle de la vessie	HP:0000009
infections urinaires récurrentes	HP:0000010
trouble vésical neurogénique	HP:0000011
impériosité mictionnelle	HP:0000012
urgence mictionnelle	HP:0000012
urgence urinaire	HP:0000012
hypoplasie de l'utérus	HP:0000013
anomalie de la vessie	HP:0000014
Diverticule de la vessie	HP:0000015
diverticule de vessie	HP:0000015
rétention urinaire	HP:0000016
rétention d'urine	HP:0000016
retention d'urine	HP:0000016
nycturie	HP:0000017
polyurie nocturne	HP:0000017
désordre du sphincter	HP:0000018
retard de la miction	HP:0000019
délai à la miction	HP:0000019
incontinence urinaire	HP:0000020
incontinence d'urine	HP:0000020
dilatation des voies urinaires basses	HP:0000021
Anomalie des organes génitaux masculins internes	HP:0000022
anomale des organes génitaux internes de l'homme	HP:0000022
anomale des organes génitaux internes masculins	HP:0000022
hernie inguinale	HP:0000023
k40 - hernie inguinale	HP:0000023
hernies inguinales	HP:0000023
prostatite	HP:0000024
anomalie fonctionnelle des organes génitaux masculins internes	HP:0000025
eunuchoïdisme	HP:0000026
hypogonadisme masculin	HP:0000026
Azoospermie	HP:0000027
cryptorchidie	HP:0000028
atrophie testiculaire	HP:0000029
gonadoblastome testiculaire	HP:0000030
épididymite	HP:0000031
Anomalie des organes génitaux masculins externes	HP:0000032
Ambiguïté sexuelle masculine	HP:0000033
hydrocèle du testicule	HP:0000034
anomalie des testicules	HP:0000035
Anomalie du pénis	HP:0000036
Pseudohermaphroditisme masculin	HP:0000037
pseudo-hermaphrodisme masculin	HP:0000037
épispadias	HP:0000039
Pénis élargi	HP:0000040
Courbure du pénis	HP:0000041
coudure de la verge	HP:0000041
Organes génitaux externes absents	HP:0000042
absence des organes génitaux externes	HP:0000042
hypogonadisme hypogonadotrophique	HP:0000044
déficit gonadotrope	HP:0000044
Anomalies du scrotum/scrotales	HP:0000045
hypoplasie scrotale	HP:0000046
hypoplasie du scrotum	HP:0000046
scrotum hypoplasique	HP:0000046
hypospadias	HP:0000047
Scrotum bifide	HP:0000048
Scrotum en châle	HP:0000049
organes génitaux hypoplasiques	HP:0000050
hypospadias périnéal	HP:0000051
Atrésie urétrale masculine	HP:0000052
macroorchidisme	HP:0000053
microphallus	HP:0000054
anomalie des organes génitaux externes de la femme	HP:0000055
anomalie du clitoris	HP:0000056
clitoromégalie	HP:0000057
anomalie des lèvres de la vulve	HP:0000058
Hypoplasie des grandes lèvres	HP:0000059
grandes lèvres hypoplasiques	HP:0000059
hypoplasie clitoridienne	HP:0000060
hypoplasie du clitoris	HP:0000060
Ambiguïté sexuelle féminine	HP:0000061
Ambiguïté sexuelle	HP:0000062
organes génitaux ambigüs	HP:0000062
ambiguïté des organes génitaux externes	HP:0000062
petites lèvres fusionnées	HP:0000063
Hypoplasie des petites lèvres	HP:0000064
petites lèvres hypoplasiques	HP:0000064
hypertrophie labiale	HP:0000065
hypoplasie labiale	HP:0000066
Atrésie urétrale féminine	HP:0000067
Atrésie urétrale	HP:0000068
Anomalie de l'uretère	HP:0000069
urétérocèle	HP:0000070
sténose urétérale	HP:0000071
Hydruretère	HP:0000072
hydro-uretère	HP:0000072
dilatation urétérale	HP:0000072
duplication uretérale	HP:0000073
uretère double	HP:0000073
obstruction de la jonction pyélo-urétérale	HP:0000074
Rein surnuméraire	HP:0000075
reflux vésico-urétéral	HP:0000076
Anomalie du rein	HP:0000077
Anomalie du système génital	HP:0000078
Anomalie du système urinaire	HP:0000079
anomalie de la physiologie génitale	HP:0000080
système collecteur rénal dupliqué	HP:0000081
anomalie de la physiologie rénale	HP:0000082
atteinte de la fonction rénale	HP:0000082
diminution de la fonction rénale	HP:0000082
défaillance rénale	HP:0000083
(n17-n19) - insuffisance rénale	HP:0000083
insuffisance rénale	HP:0000083
insuffisance rénale chez l'adulte	HP:0000084
rein en fer à cheval	HP:0000085
rein ectopique	HP:0000086
hypoplasie rénale	HP:0000089
Néphronophthise	HP:0000090
anomalie du tubule rénal	HP:0000091
anomalie des tubules rénaux	HP:0000091
atrophie tubulaire	HP:0000092
protéinurie	HP:0000093
infections urinaires	HP:0000094
infection de l'appareil urinaire	HP:0000094
infections des voies urinaires	HP:0000094
anomalies morphologiques des glomérules	HP:0000095
glomérulosclérose	HP:0000096
hyalinose segmentaire et focale avec syndrome néphrotique	HP:0000097
augmentation de la taille corporelle	HP:0000098
taille corporelle augmentée	HP:0000098
glomérulonéphrite	HP:0000099
syndrome néphrotique	HP:0000100
néphrose	HP:0000100
n04 - syndrome néphrotique	HP:0000100
N18 - insuffisance rénale chronique	HP:0000101
polyurie	HP:0000103
agénésie rénale	HP:0000104
reins élargis	HP:0000105
gros reins	HP:0000105
insuffisance rénale progressive	HP:0000106
kyste rénal	HP:0000107
kyste du rein	HP:0000107
kystes corticomédullaires	HP:0000108
dysplasie rénale	HP:0000110
hypertrophie/hyperplasie des cellules juxtaglomérulaires	HP:0000111
néphropathie	HP:0000112
néphropathies	HP:0000112
polykystose rénale	HP:0000113
anomalies des tubules contournés proximaux	HP:0000114
perte rénale de phosphate	HP:0000117
Anomalie du phénotype	HP:0000118
Anomalie du système génito-urinaire	HP:0000119
diminution de la clairance de la créatinine	HP:0000120
néphrocalcinose	HP:0000121
agénésie rénale unilatérale	HP:0000122
rein solitaire	HP:0000122
néphrite	HP:0000123
trouble des tubes urinifères	HP:0000124
rein pelvien	HP:0000125
hydronéphrose	HP:0000126
perte rénale de sel	HP:0000127
perte rénale de potassium	HP:0000128
fibrose interstitielle rénale	HP:0000129
fibrose rénale interstitielle	HP:0000129
anomalie de l'utérus	HP:0000130
léiomyome utérin	HP:0000131
fibrome utérin	HP:0000131
ménorragie	HP:0000132
menorragie	HP:0000132
ménorragie	HP:0000132
dysgénésie gonadique	HP:0000133
dysgénésie gonadique pure	HP:0000133
dysgénésie gonadique mixte	HP:0000133
dysgenèse gonadique	HP:0000133
hypergonadisme féminin	HP:0000134
hypogonadisme	HP:0000135
Utérus bifide	HP:0000136
anomalie de l'ovaire	HP:0000137
kyste ovarien	HP:0000138
kystes de l'ovaire	HP:0000138
prolapsus utérin	HP:0000139
Anomalie du cycle menstruel	HP:0000140
Aménorrhée	HP:0000141
Anomalie du vagin	HP:0000142
fistule recto-vaginale	HP:0000143
diminution de la fertilité	HP:0000144
Vagin cloisonné transversal	HP:0000145
ovaires polykystiques	HP:0000147
syndrome des ovaires polykystiques	HP:0000147
Atrésie vaginale	HP:0000148
atrésie du vagin	HP:0000148
Gonadoblastome ovarien	HP:0000149
gonadoblastome	HP:0000150
aplasie de l'utérus	HP:0000151
absence d'utérus	HP:0000151
Anomalie de la tête ou du cou	HP:0000152
Anomalie de la bouche	HP:0000153
macrostomie	HP:0000154
bouche large	HP:0000154
Fente faciale commissurale	HP:0000154
Ulcère buccal	HP:0000155
Ulcère de la  bouche	HP:0000155
palais ogival	HP:0000156
anomalie de la langue	HP:0000157
Macroglossie	HP:0000158
anomalie des lèvres	HP:0000159
microstomie	HP:0000160
Fente labiale médiane	HP:0000161
glossoptose	HP:0000162
Anomalie de la cavité orale	HP:0000163
anomalie des dents	HP:0000164
Périodontite sévère	HP:0000166
parodontite sévère	HP:0000166
Saignement oral	HP:0000167
Anomalie  des gencives	HP:0000168
fibromatose gingivale	HP:0000169
Lèvres épaisses	HP:0000170
microglossie	HP:0000171
anomalie de l'uvule palatine	HP:0000172
anomalie de la luette	HP:0000172
Anomalie du palais	HP:0000174
Fente palatine	HP:0000175
fente vélo-palatine	HP:0000175
fissure palatine	HP:0000175
Fente palatine submuqueuse	HP:0000176
anomalie de la lèvre supérieure	HP:0000177
anomalie de la lèvre inférieure	HP:0000178
vermillon de la lèvre inférieur épais	HP:0000179
langue lobulée	HP:0000180
mouvements anormaux de la langue	HP:0000182
difficulté dans les mouvements de la langue	HP:0000183
lèvres proéminentes	HP:0000184
fente du palais mou	HP:0000185
Fente du voile du palais	HP:0000185
Fente vélaire	HP:0000185
crêtes alvéolaires larges	HP:0000187
rebords alvéolaires épais	HP:0000187
lèvre supérieure courte	HP:0000188
Palais étroit	HP:0000189
Anomalie des freins buccaux	HP:0000190
Luette bifide	HP:0000193
luette fendue	HP:0000193
fente de la luette	HP:0000193
bifidité de la luette	HP:0000193
Bouche entrouverte	HP:0000194
bouche entrouverte en permanence	HP:0000194
bouche ouverte	HP:0000194
dépression de la lèvre inférieure	HP:0000196
Anomalie de la glande parotide	HP:0000197
Anomalie de la parotide	HP:0000197
Absence de conduit parotidien	HP:0000198
frein lingual court	HP:0000200
frein de la langue court	HP:0000200
syndrome de pierre robin	HP:0000201
Fente labio-palatine	HP:0000202
fente labiale et palatine	HP:0000202
fissure palatine avec bec-de-lièvre	HP:0000202
fente labiale et fente palatine	HP:0000202
Fente labiale	HP:0000204
bec-de-lièvre	HP:0000204
lèvres pincées	HP:0000205
glossite	HP:0000206
Bouche triangulaire	HP:0000207
Fente labiale/palatine submuqueuse	HP:0000208
Anomalie des mâchoires	HP:0000209
trismus	HP:0000211
hypertrophie gingivale	HP:0000212
lèvres fines	HP:0000213
lèvres minces	HP:0000213
télangiectasie des lèvres	HP:0000214
vermillon de la lèvre supérieure épais	HP:0000215
crêtes alvéolaires larges secondairement	HP:0000216
Xérostomie	HP:0000217
sécheresse de la bouche	HP:0000217
palais haut	HP:0000218
vermillon de la lèvre supérieure fin	HP:0000219
lévre supérieure fine	HP:0000219
incompétence vélopharyngée	HP:0000220
langue plicaturée	HP:0000221
Hyperkératose gingivale	HP:0000222
anomalie de la sensation du goût	HP:0000223
diminution de la sensation de goût	HP:0000224
hemorragie gingivale	HP:0000225
télangectiasies de la langue	HP:0000227
télangiectasies de la cavité orale	HP:0000228
Gingivite	HP:0000230
Lèvre inférieure éversée/tombante	HP:0000232
vermillon fin	HP:0000233
Anomalie de la tête	HP:0000234
Anomalie des fontanelles et des sutures crâniennes	HP:0000235
Anomalie de la fontanelle antérieure	HP:0000236
fontanelle antérieure petite	HP:0000237
Hydrocéphalie	HP:0000238
grandes fontanelles	HP:0000239
anomalie de la taille du crâne	HP:0000240
décélération dans la croissance de la tête	HP:0000241
proéminence pariétale	HP:0000242
trigonocéphalie	HP:0000243
Brachyturricéphalie	HP:0000244
Anomalie des sinus	HP:0000245
sinusite	HP:0000246
Brachycéphalie	HP:0000248
Voûte cranienne dense	HP:0000250
microcéphalie	HP:0000252
Microencéphalie	HP:0000252
q02 - microcéphalie	HP:0000252
microcéphalie progressive	HP:0000253
Sinusite aiguë	HP:0000255
macrocéphalie	HP:0000256
microcéphalie acquise	HP:0000259
Fontanelle antérieure élargie	HP:0000260
Oxycéphalie isolée	HP:0000262
oxycéphalie	HP:0000263
acrocéphalie	HP:0000263
anomalie du mastoïde	HP:0000264
mastoïdite	HP:0000265
Assymétrie du crâne	HP:0000267
Dolichocéphalie	HP:0000268
scaphocéphalie	HP:0000268
occiput proéminent	HP:0000269
soudure tardive des fontanelles	HP:0000270
fermeture de fontanelle retardée	HP:0000270
fermeture retardée des sutures crâniennes	HP:0000270
anomalie du visage	HP:0000271
anomalie de la face	HP:0000271
Face plate	HP:0000272
hypoplasie malaire	HP:0000272
grimace faciale	HP:0000273
Face petite	HP:0000274
Face étroite	HP:0000275
Face longue	HP:0000276
Anomalie de la mandibule	HP:0000277
rétrognathie	HP:0000278
Face grossière	HP:0000280
faciès légèrement grossier	HP:0000281
Oedème facial	HP:0000282
oedème de la face	HP:0000282
Face large	HP:0000283
Anomalie de la région oculaire	HP:0000284
Epicanthus	HP:0000286
Plis épicanthaux	HP:0000286
Tissu adipeux facial normal ou augmenté	HP:0000287
anomalie du philtrum	HP:0000288
Anomalie du front	HP:0000290
Anomalie du tissu adipeux facial	HP:0000291
Manque de tissu adipeux facial	HP:0000292
joues pleines	HP:0000293
implantation basse des cheveux sur le front	HP:0000294
faciès ressemblant à une poupée	HP:0000295
hypotonie faciale	HP:0000297
hypotonie de la face	HP:0000297
facies fige	HP:0000298
amimie	HP:0000298
face ovale	HP:0000300
anomalie de la musculature faciale	HP:0000301
anomalie de la musculature de la face	HP:0000301
anomalie des muscles de la face	HP:0000301
anomalie des muscles faciaux	HP:0000301
Prognathisme mandibulaire	HP:0000303
prognathisme inférieur	HP:0000303
Prognathisme de la mandibule	HP:0000303
prognathisme	HP:0000303
face pleine arrondie	HP:0000304
philtrum proéminent	HP:0000305
Anomalie du menton	HP:0000306
Menton pointu	HP:0000307
micro-rétrognathie	HP:0000308
Anomalie de l'étage moyen de la face	HP:0000309
étage moyen de la face proéminent	HP:0000310
Face ronde	HP:0000311
rétrécissement bitemporal	HP:0000314
Anomalie de la région orbitale	HP:0000315
Hypertélorisme	HP:0000316
myokymie faciale	HP:0000317
myokymies faciales	HP:0000317
Face longue étroite	HP:0000318
Philtrum plat	HP:0000319
faciès ressemblant à un oiseau	HP:0000320
face carrée	HP:0000321
Philtrum court	HP:0000322
philtrum plat anormalement long	HP:0000323
Asymétrie faciale	HP:0000324
Face triangulaire	HP:0000325
Anomalie du maxillaire	HP:0000326
hypoplasie du maxillaire	HP:0000327
Hémangiome facial	HP:0000329
légère micrognathie	HP:0000330
menton petit	HP:0000331
front plein	HP:0000333
face maigre, longue	HP:0000334
face fânée	HP:0000335
Rebord orbitaire saillant	HP:0000336
Front large	HP:0000337
Hypomimie faciale	HP:0000338
Front fuyant	HP:0000340
Front étroit/rétraction temporale	HP:0000341
front fuyant et haut	HP:0000342
Philtrum long	HP:0000343
micrognathie sévère	HP:0000345
face de siffleur	HP:0000346
micrognathie	HP:0000347
Front haut	HP:0000348
implantation capillaire antérieure en pic de veuve	HP:0000349
Petit front	HP:0000350
faiblesse des muscles faciaux, légère	HP:0000353
front large, haut	HP:0000354
Hypoaldostéronisme	HP:0000355
Anomalie de l'oreille externe	HP:0000356
Localisation anormale des oreilles	HP:0000357
oreilles en rotation postérieure	HP:0000358
Anomalie de l'oreille interne	HP:0000359
acouphènes	HP:0000360
acouphène	HP:0000360
bourdonnements d'oreille	HP:0000360
acouphène pulsatile (paragangliome tympanique)	HP:0000361
Otosclérose	HP:0000362
otospongiose	HP:0000362
anomalie des lobes de l'oreille	HP:0000363
Anomalie de l'ouïe	HP:0000364
Déficit auditif	HP:0000365
pertes auditives	HP:0000365
Anomalie du nez	HP:0000366
Surdité de conduction	HP:0000367
oreilles en rotation postérieure avec une implantation basse	HP:0000368
implantation basse des oreilles	HP:0000369
oreilles basses implantées	HP:0000369
oreilles basses	HP:0000369
Anomalie de l'oreille moyenne	HP:0000370
Otite moyenne aiguë	HP:0000371
Anomalie du canal auditif	HP:0000372
anomalie de la cochlée	HP:0000375
malformation de Mondini	HP:0000376
Anomalie de l'auricule de l'oreille	HP:0000377
Anomalie du pavillon de l'oreille	HP:0000377
Oreilles en forme de coupe	HP:0000378
oreilles excavées	HP:0000378
oreilles simples et petites	HP:0000379
Ankylose de l'étrier	HP:0000381
oreilles proéminantes, grandes	HP:0000382
anomalie de la région péri-auriculaire	HP:0000383
acrochordon préauriculaire	HP:0000384
hypoplasie des lobes de l'oreille	HP:0000385
grandes oreilles tombantes	HP:0000386
Oreilles sans lobe	HP:0000387
otite moyenne	HP:0000388
otite moyenne chronique	HP:0000389
Hélix épassis	HP:0000391
Microtie	HP:0000393
Oreille tombante	HP:0000394
antihélix proéminent	HP:0000395
oreilles dysplasiques	HP:0000398
déficience auditive neurosensorielle prélinguale	HP:0000399
grandes oreilles	HP:0000400
grandes oreilles dysplasiques	HP:0000401
Sténose du canal auditif externe	HP:0000402
canal auditif externe sténosé	HP:0000402
Otite moyenne récurrente	HP:0000403
otite moyenne récidivante	HP:0000403
surdité	HP:0000404
surdite	HP:0000404
troubles de l'audition et la surdité	HP:0000404
Déficit auditif par conduction	HP:0000405
perte auditive par conduction	HP:0000405
Déficit auditif neurosensoriel	HP:0000407
déficit auditif neurosensoriel progressif	HP:0000408
déficit auditif mixte	HP:0000410
oreille saillante	HP:0000411
oreilles proéminentes	HP:0000412
